"table_name","column_name"
"ticket_column_rel","ticket_id"
"ticket_column_rel","column_id"
"ticket_column_rel","ticket_move_time"
"ticket_column_rel","ticket_deadline_offset"
"ticket_column_rel","ticket_deadline_offset_yellow"
"ticket_column_rel","ticket_deadline_offset_red"
"contradiction_contradictionpoint_rel","contradiction_id"
"contradiction_contradictionpoint_rel","contradictionpoint_id"
"contactperson_contactsalutation_rel","contactperson_id"
"contactperson_contactsalutation_rel","contactsalutation_id"
"partnergroup_address_rel","partnergroup_id"
"partnergroup_address_rel","address_id"
"1__attribute_nice","attribute_name"
"1__attribute_nice","attribute_lang"
"1__attribute_nice","attribute_nice_name_group"
"1__attribute_nice","attribute_nice_name"
"1__mouseover","mouseover_id"
"1__mouseover","mouseover_lang"
"1__mouseover","mouseover_title"
"contradiction_contradictiontask_rel","contradiction_id"
"contradiction_contradictiontask_rel","contradictiontask_id"
"contradiction_contradictiontask_rel","contradiction_contradictiontask_finished"
"contradiction_contradictiontask_rel","contradiction_contradictiontask_comment"
"textmodule_country_rel","textmodule_id"
"textmodule_country_rel","country_id"
"textmodule_country_rel","textmodule_country_text"
"group_ticket","group_ticket_id"
"group_ticket","group_ticket_creation_time"
"group_ticket","group_ticket_last_change_time"
"group_ticket","group_ticket_name"
"group_ticket","group_ticket_description"
"group_ticket","group_ticket_deadline"
"group_ticket","group_ticket_deadline_yellow"
"group_ticket","group_ticket_deadline_red"
"correspondencetype","correspondencetype_id"
"correspondencetype","correspondencetype_name"
"correspondencetype","correspondencetype_description"
"language","language_id"
"language","language_name"
"language","language_iso639"
"contract_specialright_rel","contract_id"
"contract_specialright_rel","specialright_id"
"contract_specialright_rel","contract_specialright_date"
"contract_specialright_rel","contract_specialright_termination_date"
"contract_specialright_rel","contract_specialright_description"
"contract_specialright_rel","contract_specialright_is_passive"
"contract_specialright_rel","contract_specialright_is_availed"
"contract_specialright_rel","contract_specialright_prior_notice_date"
"partnercompany_address_rel","partnercompany_id"
"partnercompany_address_rel","address_id"
"ticket_group_ticket_rel","group_ticket_id"
"ticket_group_ticket_rel","ticket_id"
"contradictiontask","contradictiontask_id"
"contradictiontask","contradictiontask_name"
"contradictiontask","contradictiontask_description"
"invoicevaluetype_unit_rel","invoicevaluetype_id"
"invoicevaluetype_unit_rel","unit_id"
"invoicevaluetype_unit_rel","invoicevaluetype_unit_preferred_unit"
"user_role_rel","user_id"
"user_role_rel","role_id"
"note","note_id"
"note","note_longtext"
"note","note_timestamp"
"note","note_del"
"textmodule","textmodule_id"
"textmodule","textmodule_name"
"textmodule","textmodule_description"
"textmodule","textmodule_templatetext"
